gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,administration_route,main_sample_source,specific_sample_source,sequencing
GSE240062,Andes virus mRNA vaccines: comparison of unmodified and modified mRNA platforms [scRNA-seq],39080316,Virus,Andes virus,M segment,mRNA,NA,Intradermal,Lymph node,GC B cells,VDJseq
GSE207389,Splenic memory CD8 T cell signature of enhanced responsiveness to vaccine boost,36865556,Virus,ChAd,Whole,Viral vector,NA,Intramuscular,Spleen,NA,Bulk
GSE154371,Dengue specific immunoglobulin repertoires comparison between the repeated and epitope-decreased immunizations,33101316,Virus,Dengue virus,ED3,Subunit,NA,Intramuscular,Spleen,B cells,Bulk
GSE154371,Dengue specific immunoglobulin repertoires comparison between the repeated and epitope-decreased immunizations,33101316,Virus,Dengue virus,Whole,Infection,NA,Intramuscular,Spleen,B cells,Bulk
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Virus,Hepatitis B,Engerix,Subunit,NA,Intramuscular,Blood,PBMCs,Microarray
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,HIV,GP120 and GagPol,Attenuated,NA,Intramuscular,Spleen,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,Vaccinia,NYVAC,Attenuated,NA,Intramuscular,Spleen,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,HIV,GP120 and GagPol,Attenuated,NA,Intraperitoneal,Spleen,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,Vaccinia,NYVAC,Attenuated,NA,Intraperitoneal,Spleen,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,HIV,GP120 and GagPol,Attenuated,NA,Intramuscular,Peritoneum,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,Vaccinia,NYVAC,Attenuated,NA,Intramuscular,Peritoneum,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,HIV,GP120 and GagPol,Attenuated,NA,Intraperitoneal,Peritoneum,NA,Bulk
GSE165227,Neutrophil Subtypes Shape HIV-specific CD8 T Cell Responses After Vaccinia Virus Infection.,33846352,Virus,Vaccinia,NYVAC,Attenuated,NA,Intraperitoneal,Peritoneum,NA,Bulk
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Virus,Influenza,Agrippal,Inactivated,NA,Intramuscular,Blood,PBMCs,Microarray
GSE101696,Altered infant T cell differentiation in infection or vaccination reduces lung tissue-resident memory generation,28855242,Virus,Influenza,FluMist,Attenuated,NA,Intranasal,Lung,NA,Bulk
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],,Virus,Influenza,H1N1,Inactivated,NA,Intramuscular,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],,Virus,Influenza,H1N1,Inactivated,NA,Intranasal,Lung,NA,Microarray
GSE101747,Spleen transcriptional profiling of Mus musculus BALB/c strain after DNA vaccination against influenza H5N1,28883819,Virus,Influenza,H5N1,DNA,NA,Intramuscular,Spleen,NA,Microarray
GSE279743,Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using whole lymph node),39690742,Virus,Influenza,H5N1,mRNA,NA,Subcutaneous or Intramuscular,Lymph node,NA,Bulk
GSE279744,Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using dendritic cell of lymph node),39690742,Virus,Influenza,H5N1,mRNA,NA,Subcutaneous or Intramuscular,Lymph node,dendritic cells,Bulk
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],,Virus,Influenza,H5N8,Inactivated,NA,Intramuscular,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],,Virus,Influenza,H5N8,Inactivated,NA,Intranasal,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],,Virus,Influenza,H7N9,Inactivated,NA,Intramuscular,Lung,NA,Microarray
GSE205839,An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],,Virus,Influenza,H7N9,Inactivated,NA,Intranasal,Lung,NA,Microarray
GSE289606,Ectopic germinal centers in the nasal turbinates contribute to B cell immunity to intranasal viral infection and vaccination,40112112,Virus,Influenza,Influenza A PR/8,Infection,NA,Intranasal,Respiratory secretion,B cells,Bulk
GSE198980,Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,36162870,Virus,Influenza,Influenza A/Puerto Rico/8/34 nucleoprotein,Viral vector,NA,Intranasal,Lung,NA,Bulk
GSE198980,Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,36162870,Virus,Influenza,Influenza A/Puerto Rico/8/34 nucleoprotein,Viral vector,NA,Subcutaneous,Lung,NA,Bulk
GSE198980,Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,36162870,Virus,Influenza,Influenza A/Puerto Rico/8/34 nucleoprotein,Viral vector,NA,Intranasal,Spleen,NA,Bulk
GSE198980,Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,36162870,Virus,Influenza,Influenza A/Puerto Rico/8/34 nucleoprotein,Viral vector,NA,Subcutaneous,Spleen,NA,Bulk
GSE160010,"The Effect of Calcium on Activity, Immunogenicity and Efficacy of a Recombinant N1/N2 Neuraminidase Vaccine",33824333,Virus,Influenza,Neuraminidase,Subunit,NA,Intramuscular,Lung,NA,Microarray
GSE107116,NK cell regulation of T cells following LCMV infection of vaccinated and unvaccinated mice,29514912,Virus,LCMV,GP,Viral vector,NA,Intramuscular,Spleen,NA,Microarray
GSE160294,Vaccine-elicited CD4 T cells prevent the deletion of antiviral B cells in chronic infection,34772811,Virus,LCMV,Whole,NA,NA,Intravenous,Spleen,TCD4,Bulk
GSE161356,Vaccine-elicited CD4 T cells prevent the deletion of antiviral B cells in chronic infection,34772811,Virus,LCMV,Whole,NA,NA,Intravenous,Spleen,TCD4,Bulk
GSE207389,Splenic memory CD8 T cell signature of enhanced responsiveness to vaccine boost,36865556,Virus,MVA,MVA,Viral vector,NA,Intramuscular,Spleen,NA,Bulk
GSE122637,Transcriptome of  draining lymph nodes from the mice immunized with RABV,30906301,Virus,Rabies virus,Whole,Attenuated,NA,No information,Lymph node,NA,Bulk
